glyph_name,ps_name,USV,sort_final,Status,Feat,Feat2
.notdef,.notdef,,0,Req,,
.null,.null,,1,Req,,
space,space,0020,3.1,ReqImport,,
exclam,exclam,0021,5.1,ReqImport,,
quotedbl,quotedbl,0022,6,ReqImport,,
numbersign,numbersign,0023,7.1,ReqImport,,
dollar,dollar,0024,8,ReqImport,,
percent,percent,0025,9.1,ReqImport,,
ampersand,ampersand,0026,10,Req,,
quotesingle,quotesingle,0027,11,Req,,
parenleft,parenleft,0028,12.1,ReqImport,,
parenright,parenright,0029,13.1,ReqImport,,
asterisk,asterisk,002A,14.1,ReqImport,,
plus,plus,002B,15.1,ReqImport,,
comma,comma,002C,16,ReqImport,,
hyphentwo,uni2010,2010,17,Req,,
hyphen,hyphen,002D,18.1,ReqImport,,
period,period,002E,19.1,ReqImport,,
period.latn,period.latn,,19.2,,,
slash,slash,002F,20.1,ReqImport,,
zero,zero,0030,30.1,,,
one,one,0031,30.2,,,
two,two,0032,30.3,,,
three,three,0033,30.4,,,
four,four,0034,30.5,,,
five,five,0035,30.6,,,
six,six,0036,30.7,,,
seven,seven,0037,30.8,,,
eight,eight,0038,30.9,,,
nine,nine,0039,30.91,,,
zero.cv02,zero.cv02,,31.0,,cv02=1,
one.cv02,one.cv02,,31.1,,cv02=1,
two.cv02,two.cv02,,32.1,,cv02=1,
three.cv02,three.cv02,,33.1,,cv02=1,
four.cv02,four.cv02,,34.1,,cv02=1,
five.cv02,five.cv02,,35.1,,cv02=1,
six.cv02,six.cv02,,36.1,,cv02=1,
seven.cv02,seven.cv02,,37.1,,cv02=1,
eight.cv02,eight.cv02,,38.1,,cv02=1,
nine.cv02,nine.cv02,,39.1,,cv02=1,
colon,colon,003A,40.1,ReqImport,,
colon.latn,colon.latn,,40.2,,,
semicolon,semicolon,003B,41,Req,,
less,less,003C,42.1,ReqImport,,
equal,equal,003D,43.1,ReqImport,,
greater,greater,003E,44.1,ReqImport,,
question,question,003F,45,Req,,
question.latn,question.latn,,45.1,,,
at,at,0040,46,Req,,
A,A,0041,50,Req,,
B,B,0042,51,Req,,
C,C,0043,52,Req,,
D,D,0044,53,Req,,
E,E,0045,54,Req,,
F,F,0046,55,Req,,
G,G,0047,56,Req,,
H,H,0048,57,Req,,
I,I,0049,58,Req,,
J,J,004A,59,Req,,
K,K,004B,60,Req,,
L,L,004C,61,Req,,
M,M,004D,62,Req,,
N,N,004E,63,Req,,
O,O,004F,64,Req,,
P,P,0050,65,Req,,
Q,Q,0051,66,Req,,
R,R,0052,67,Req,,
S,S,0053,68,Req,,
T,T,0054,69,Req,,
U,U,0055,70,Req,,
V,V,0056,71,Req,,
W,W,0057,72,Req,,
X,X,0058,73,Req,,
Y,Y,0059,74,Req,,
Z,Z,005A,75,Req,,
